Country,Population
Angola,30809762
Argentina,44494502
Bolivia,11353142
Brazil,209469333
Cameroon,25216237
China,1392730000
Colombia,49648685
Congo,5244363
Costa Rica,4999441
Ecuador,17084357
Ethiopia,109224559
Guyana,779004
India,1352617328
Indonesia,267663435
Kenya,51393010
Mexico,126190788
Myanmar,53708395
Nepal,28087871
Nigeria,195874740
Panama,4176873
Peru,31989256
Sudan,41801533
South Africa,57779622
South Sudan,10975920
Tanzania,56318348
Thailand,69428524
Uganda,42723139
United States,327167434
Venezuela,31980000
Vietnam,95540395
